Name,Body Part,Equipment,Intensity,Calories Burned (Man) 10min,Calories Burned (Woman) 10min
3/4 sit-up,waist,body weight,light,30,25
45° side bend,waist,body weight,light,30,25
air bike,waist,body weight,light,30,25
all fours squad stretch,upper legs,body weight,light,34,28
alternate heel touchers,waist,body weight,light,30,25
alternate lateral pulldown,back,cable,high,77,63
ankle circles,lower legs,body weight,moderate,47,38
archer pull up,back,body weight,high,75,61
archer push up,chest,body weight,high,75,61
arm slingers hanging bent knee legs,waist,body weight,light,30,25
arm slingers hanging straight legs,waist,body weight,light,30,25
arms apart circular toe touch (male),upper legs,body weight,moderate,51,42
arms overhead full sit-up (male),waist,body weight,light,30,25
assisted chest dip (kneeling),chest,leverage machine,high,71,58
assisted hanging knee raise,waist,assisted,light,27,22
assisted hanging knee raise with throw down,waist,assisted,light,27,22
assisted lying calves stretch,lower legs,assisted,light,26,21
assisted lying glutes stretch,upper legs,assisted,light,30,25
assisted lying gluteus and piriformis stretch,upper legs,assisted,light,30,25
assisted lying leg raise with lateral throw down,waist,assisted,light,27,22
assisted lying leg raise with throw down,waist,assisted,light,27,22
assisted motion russian twist,waist,medicine ball,light,27,22
assisted parallel close grip pull-up,back,leverage machine,high,71,58
assisted prone hamstring,upper legs,assisted,high,71,58
assisted prone lying quads stretch,upper legs,assisted,light,30,25
assisted prone rectus femoris stretch,waist,assisted,light,27,22
assisted pull-up,back,leverage machine,high,71,58
assisted seated pectoralis major stretch with stability ball,chest,assisted,light,30,25
assisted side lying adductor stretch,upper legs,assisted,light,30,25
assisted sit-up,waist,assisted,light,27,22
assisted standing chin-up,back,leverage machine,high,71,58
assisted standing pull-up,back,leverage machine,high,71,58
assisted standing triceps extension (with towel),upper arms,assisted,high,69,56
assisted triceps dip (kneeling),upper arms,leverage machine,high,69,56
assisted wide-grip chest dip (kneeling),chest,leverage machine,high,71,58
astride jumps (male),cardio,body weight,high,68,55
back and forth step,cardio,body weight,high,68,55
back extension on exercise ball,back,stability ball,high,71,58
back lever,back,body weight,high,75,61
back pec stretch,back,body weight,light,34,28
backward jump,upper legs,body weight,moderate,51,42
balance board,upper legs,body weight,moderate,51,42
band alternating biceps curl,upper arms,band,high,71,58
band alternating v-up,waist,band,light,29,24
band assisted pull-up,back,band,high,73,60
band assisted wheel rollerout,waist,band,light,29,24
band bench press,chest,band,high,73,60
band bent-over hip extension,upper legs,band,high,73,60
band bicycle crunch,waist,band,light,29,24
band close-grip pulldown,back,band,high,73,60
band close-grip push-up,upper arms,band,high,71,58
band concentration curl,upper arms,band,high,71,58
band fixed back close grip pulldown,back,band,high,73,60
band fixed back underhand pulldown,back,band,high,73,60
band front lateral raise,shoulders,band,high,71,58
band front raise,shoulders,band,high,71,58
band hip lift,upper legs,band,high,73,60
band horizontal pallof press,waist,band,light,29,24
band jack knife sit-up,waist,band,light,29,24
band kneeling one arm pulldown,back,band,high,73,60
band kneeling twisting crunch,waist,band,light,29,24
band lying hip internal rotation,upper legs,band,high,73,60
band lying straight leg raise,waist,band,light,29,24
band one arm overhead biceps curl,upper arms,band,high,71,58
band one arm single leg split squat,upper legs,band,high,73,60
band one arm standing low row,back,band,high,73,60
band one arm twisting chest press,chest,band,high,73,60
band one arm twisting seated row,back,band,high,73,60
band pull through,upper legs,band,high,73,60
band push sit-up,waist,band,light,29,24
band reverse fly,shoulders,band,high,71,58
band reverse wrist curl,lower arms,band,high,67,54
band seated hip internal rotation,upper legs,band,high,73,60
band seated twist,waist,band,light,29,24
band shoulder press,shoulders,band,high,71,58
band shrug,back,band,high,73,60
band side triceps extension,upper arms,band,high,71,58
band single leg calf raise,lower legs,band,high,69,56
band single leg reverse calf raise,lower legs,band,high,69,56
band single leg split squat,upper legs,band,high,73,60
band squat,upper legs,band,high,73,60
band squat row,upper legs,band,high,73,60
band standing crunch,waist,band,light,29,24
band standing rear delt row,shoulders,band,high,71,58
band standing twisting crunch,waist,band,light,29,24
band step-up,upper legs,band,high,73,60
band stiff leg deadlift,upper legs,band,high,73,60
band straight back stiff leg deadlift,upper legs,band,high,73,60
band straight leg deadlift,back,band,high,73,60
band twisting overhead press,shoulders,band,high,71,58
band two legs calf raise - (band under both legs) v. 2,lower legs,band,high,69,56
band underhand pulldown,back,band,high,73,60
band v-up,waist,band,light,29,24
band vertical pallof press,waist,band,light,29,24
band wrist curl,lower arms,band,high,67,54
band y-raise,shoulders,band,high,71,58
barbell alternate biceps curl,upper arms,barbell,high,69,56
barbell bench front squat,upper legs,barbell,high,71,58
barbell bench press,chest,barbell,high,71,58
barbell bench squat,upper legs,barbell,high,71,58
barbell bent arm pullover,back,barbell,high,71,58
barbell bent over row,back,barbell,high,71,58
barbell biceps curl (with arm blaster),upper arms,barbell,high,69,56
barbell clean and press,upper legs,barbell,high,71,58
barbell clean-grip front squat,upper legs,barbell,high,71,58
barbell close-grip bench press,upper arms,barbell,high,69,56
barbell curl,upper arms,barbell,high,69,56
barbell deadlift,upper legs,barbell,high,71,58
barbell decline bench press,chest,barbell,high,71,58
barbell decline bent arm pullover,back,barbell,high,71,58
barbell decline close grip to skull press,upper arms,barbell,high,69,56
barbell decline pullover,chest,barbell,high,71,58
barbell decline wide-grip press,chest,barbell,high,71,58
barbell decline wide-grip pullover,back,barbell,high,71,58
barbell drag curl,upper arms,barbell,high,69,56
barbell floor calf raise,lower legs,barbell,high,67,54
barbell front chest squat,upper legs,barbell,high,71,58
barbell front raise,shoulders,barbell,high,69,56
barbell front raise and pullover,chest,barbell,high,71,58
barbell front squat,upper legs,barbell,high,71,58
barbell full squat,upper legs,barbell,high,71,58
barbell full squat (back pov),upper legs,barbell,high,71,58
barbell full squat (side pov),upper legs,barbell,high,71,58
barbell full zercher squat,upper legs,barbell,high,71,58
barbell glute bridge,upper legs,barbell,high,71,58
barbell glute bridge two legs on bench (male),upper legs,barbell,high,71,58
barbell good morning,upper legs,barbell,high,71,58
barbell guillotine bench press,chest,barbell,high,71,58
barbell hack squat,upper legs,barbell,high,71,58
barbell high bar squat,upper legs,barbell,high,71,58
barbell incline bench press,chest,barbell,high,71,58
barbell incline close grip bench press,upper arms,barbell,high,69,56
barbell incline reverse-grip press,upper arms,barbell,high,69,56
barbell incline row,back,barbell,high,71,58
barbell incline shoulder raise,chest,barbell,high,71,58
barbell jefferson squat,upper legs,barbell,high,71,58
barbell jm bench press,upper arms,barbell,high,69,56
barbell jump squat,upper legs,barbell,high,71,58
barbell lateral lunge,upper legs,barbell,high,71,58
barbell low bar squat,upper legs,barbell,high,71,58
barbell lunge,upper legs,barbell,high,71,58
barbell lying back of the head tricep extension,upper arms,barbell,high,69,56
barbell lying close-grip press,upper arms,barbell,high,69,56
barbell lying close-grip triceps extension,upper arms,barbell,high,69,56
barbell lying extension,upper arms,barbell,high,69,56
barbell lying lifting (on hip),upper legs,barbell,high,71,58
barbell lying preacher curl,upper arms,barbell,high,69,56
barbell lying triceps extension,upper arms,barbell,high,69,56
barbell lying triceps extension skull crusher,upper arms,barbell,high,69,56
barbell narrow stance squat,upper legs,barbell,high,71,58
barbell one arm bent over row,back,barbell,high,71,58
barbell one arm floor press,upper arms,barbell,high,69,56
barbell one arm side deadlift,upper legs,barbell,high,71,58
barbell one arm snatch,shoulders,barbell,high,69,56
barbell one leg squat,upper legs,barbell,high,71,58
barbell overhead squat,upper legs,barbell,high,71,58
barbell palms down wrist curl over a bench,lower arms,barbell,high,64,52
barbell palms up wrist curl over a bench,lower arms,barbell,high,64,52
barbell pendlay row,back,barbell,high,71,58
barbell pin presses,upper arms,barbell,high,69,56
barbell preacher curl,upper arms,barbell,high,69,56
barbell press sit-up,waist,barbell,light,27,22
barbell prone incline curl,upper arms,barbell,high,69,56
barbell pullover,back,barbell,high,71,58
barbell pullover to press,back,barbell,high,71,58
barbell rack pull,upper legs,barbell,high,71,58
