Name,Goal,Workout Type,Training Level,Program Duration,Days per Week,Time per Workout,Equipment ,Nutrition
Muscle & Strength’s 12 Week Women’s Workout Program,Lose Fat,Split,Beginner,12 weeks,5,45-60 min,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Reduce 150
8 Week Beginner Fat Loss Workout for Women,Lose Fat,Split,Beginner,8 weeks,4,60-75 min,"Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines",Reduce 200 
Muscle & Strength’s 10 Week Women’s Fat Loss Workout,Lose Fat,Split,Intermediate,10 weeks,7,60-75 min,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Reduce 150
The Best Full Body Workout Routine for Women,Lose Fat,Full Body,Beginner,11 weeks,4,60-90 min,"Bands, Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines",Reduce 200 
3 Day Full Body Women's Dumbbell Only Workout,Build Muscle,Full Body,Beginner,8 weeks,3,45-60 min,"Bodyweight, Dumbbells",Protein
"12 Week Push, Pull, Legs Workout for Women",Build Muscle,Split,Intermediate,12 weeks,6,45-75 min,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Protein
10 Week Upper/Lower Workout Program for Women,Build Muscle,Split,Intermediate,10 weeks,4,60-90 min,"Barbell, Bodyweight, Cables, Dumbbells",Protein
Summer Shape Up at Home: Women's 6 Week Fat-Burning Workout,Lose Fat,Split,Beginner,6 weeks,5,30 min,"Bands, Barbell, Bodyweight, Dumbbells",Reduce 350
4 Day Upper/Lower Women's Dumbbell Only Workout,Build Muscle,Split,Beginner,8 weeks,4,20-60 min,Dumbbells,Protein
3 Day Full Body Toning Workout for Women,Build Muscle,Full Body,Intermediate,4 weeks,3,30 min,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Protein
5 Day Women’s Dumbbell Only Workout,Build Muscle,Split,Beginner,8 weeks,5,30-60 min,Dumbbells,Protein
8 Week Full Body Workout Routine for Women,Build Muscle,Full Body,Beginner,8 weeks,3,45-70  min,"Barbell, Bodyweight, Cables, Dumbbells",Maintain
8 Week Mass Building Hypertrophy Workout,Build Muscle,Split,Intermediate,8 weeks,4,60-90 min,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Protein
Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Build muscle,Split,intermediate,12 weeks,5,45-50 min,"Bodyweight, Dumbbells",Protein
10 Week Mass Building Program,Build Muscle,Split,Advanced,10 weeks,4,50 min,"Barbell, Bodyweight, Dumbbells, Machines",Protein
Ultimate Workout to Develop a Dramatic V Taper,Build Muscle,Split,Beginner,12 weeks,5,45-60 min,"Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines",Protein
3 Day Workout Routine and Diet for Beginners,Build Muscle,Full Body,Beginner,9 weeks,3,45-75 min,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Protein
8x8 Workout: Lean Muscle Gainz Workout,Build Muscle/fat loss,Split,Intermediate,8 weeks,4,50-70 min,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Protein
Super Strength: 8 Week Strength Building Workout for Beginners,Increase strength,Split,Beginner,8 weeks,5,60 min,"Barbell, Cables, Dumbbells, Machines",Protein
12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Lose Fat,Full body,Beginner,12weeks,4,30-45 min,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells",Reduce 100
The Fat Incinerator: 8 Week Fat Burning Workout,Lose Fat,Split,Intermediate,8 weeks,5,60-90 min,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball",Reduce 200 
10 Weeks to Shredded: Maximize Your Fat Loss with this Workout,Lose Fat,Split,Advanced,10 weeks,5,30-45 min,"Barbell, Bodyweight, Dumbbells, Machines",Reduce 300
Extreme Fat Loss: 6 Week Fat Loss Workout Plan,Lose Fat,Full Body,Intermediate,6 weeks,3,45-75 min,"Barbell, Bodyweight, Dumbbells",Reduce 400
Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Lose Fat,Split,Beginner,8 weeks,4,45-70 min,"Barbell, Cables, Dumbbells, Machines, Other",Reduce 400
A/B 2 Day Workout Routine for Busy People,Build Muscle,Full Body,Beginner,6 weeks,2,60-90 min,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Other",Protein
M-F Workout Routine: 5 Day Body Part Split Workout,Build Muscle,Split,Intermediate,10 weeks,5,45-60 min,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Protein
