index,Age,Gender,Height (cm),Weight (lbs),Goal,Workout Plan,Experience Level,Weight Loss (lbs),Frequency days/week,Workout Type,Age Group,Weight Group,Weight Loss Scale,Cluster
0,48,Male,168,173.71,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,26,5,Split,Ages 41-50,161-180,25-35,12
1,58,Male,163,109.99,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,47,4,Split,Ages 51-60,101-120,45-50,10
2,41,Male,189,199.66,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,0,2,Full Body,Ages 41-50,180-200,0,8
3,51,Male,183,191.77,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,0,4,Split,Ages 51-60,180-200,0,10
4,27,Male,198,166.67,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,17,6,Split,Ages 18-30,161-180,15-25,12
5,54,Male,160,166.84,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,24,5,Split,Ages 51-60,161-180,15-25,1
6,23,Male,162,182.45,Build Muscle,A/B 2 Day Workout Routine for Busy People,Beginner,18,2,Full Body,Ages 18-30,180-200,15-25,8
7,36,Male,165,133.02,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,28,5,Split,Ages 31-40,121-140,25-35,1
8,31,Male,168,154.55,Lose Fat,Livin' Lean: 8 Week Kick-Starter Fat Loss Workout,Beginner,35,4,Split,Ages 31-40,141-160,35-45,10
9,37,Male,168,111.13,Build Muscle,Super Strength: 8 Week Strength Building Workout for Beginners,Beginner,45,6,Split,Ages 31-40,101-120,45-50,12
10,18,Male,171,204.78,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,0,5,Split,Ages 18-30,200+,0,12
11,30,Male,156,147.08,Build Muscle,M-F Workout Routine: 5 Day Body Part Split Workout,Intermediate,18,5,Split,Ages 18-30,141-160,15-25,1
12,42,Male,169,135.04,Build Muscle,Ultimate Workout to Develop a Dramatic V Taper,Beginner,25,5,Split,Ages 41-50,121-140,25-35,12
13,49,Male,172,180.95,Build Muscle,8x8 Workout: Lean Muscle Gainz Workout,Intermediate,38,4,Split,Ages 41-50,161-180,35-45,1
14,60,Male,193,161.17,Build Muscle,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,Intermediate,23,5,Split,Ages 51-60,161-180,15-25,1
